AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,WEL231,Outdoor and Indoor Games,4546,23,0,0,3,0,0,2,0,0,0,0,28
,,,WEL251,Stress Management for Life,4822,15,0,0,6,0,0,2,0,0,0,0,23
,,,WEL525,Movement and Relaxation,2241,15,0,0,1,0,0,3,0,2,0,0,21
,,WldLang,WLG110,French I,2708,1,7,1,6,2,0,2,1,0,0,0,20
,,,WLG110,French I,4885,8,3,3,3,2,2,0,0,1,0,0,22
,,,WLG120,French II,3907,9,2,0,1,0,1,0,0,0,0,0,13
,,,WLG120,French II,1981,7,2,0,0,0,0,0,0,0,0,1,10
,,,WLG120,French II,3141,18,0,0,2,0,0,0,0,0,0,0,20
,,,WLG130,French III,1038,4,3,1,5,0,2,0,0,0,0,2,17
,,,WLG130,French III,4777,4,5,7,4,1,2,0,1,0,0,0,24
,,,WLG140,French IV,4989,11,2,0,0,0,0,0,0,1,0,0,14
,,,WLG220,Spanish II,2330,11,8,1,1,0,0,0,0,0,0,0,21
,,,WLG220,Spanish II,2200,15,2,0,0,0,0,0,0,0,0,1,18
,,,WLG230,Spanish III,3682,14,2,2,2,0,0,0,0,0,0,0,20
,,,WLG230,Spanish III,1887,15,1,4,0,0,0,0,0,0,1,0,21
,,,WLG240,Spanish IV,4903,18,2,0,0,0,0,0,0,0,0,0,20
,,,WLG240,Spanish IV,1814,19,0,1,0,1,0,0,0,0,0,0,21
,,,WLG250,Spanish V,4777,13,0,0,0,0,0,0,0,0,0,0,13
,,,WLG250,Spanish V,4643,24,0,0,0,0,0,0,0,0,0,0,24
,,,WLG310,German I,4041,13,5,1,2,1,0,0,0,0,0,0,22
,,,WLG310,German I,1057,12,3,2,1,1,0,0,0,0,0,0,19
,,,WLG320,German II,2942,11,4,3,5,2,0,1,0,0,0,0,26
,,,WLG330,German III,3695,11,3,4,2,0,0,0,0,0,0,0,20
,,,WLG520,Russian II,1236,12,1,2,4,1,1,0,0,0,0,0,21
,,,WLG530,Russian III,4728,12,1,0,1,0,0,0,0,0,0,1,15
,,,WLG610,Mandarin Chinese I,2739,8,6,1,5,2,0,0,0,0,0,0,22
,,,WLG610,Mandarin Chinese I,2742,5,6,2,1,0,1,0,0,0,0,1,16
,,,WLG610,Mandarin Chinese I,4513,6,7,3,2,1,0,0,0,0,0,0,19
,,,WLG620,Mandarin Chinese II,4024,6,3,1,3,1,0,0,0,0,0,1,15
,,,WLG620,Mandarin Chinese II,4824,11,5,2,2,1,0,0,0,0,0,0,21
,,,WLG620,Mandarin Chinese II,1498,10,3,2,4,0,1,1,0,0,0,0,21
,,,WLG630,Mandarin Chinese III,1095,14,2,2,0,0,1,0,0,0,0,0,19
,,,WLG630,Mandarin Chinese III,2407,12,5,1,3,0,0,0,0,0,0,0,21
