AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,,,1197,3,5,5,1,2,1,,1,1,,,19
,,,,,1198,9,10,4,4,2,6,3,4,2,,,44
,,,SCI115,Scientific Inquiries - Physics,1199,7,7,4,,2,1,,,,,,21
,,,,,1200,12,9,10,1,1,,1,,,,,34
,,,,,1201,12,13,7,3,4,,1,2,,,,42
,,,SCI125,Scientific Inquiries - Biology,1202,5,4,4,2,1,,,1,1,,,18
,,,,,1203,7,11,10,4,4,,,1,,,,37
,,,,,1204,2,3,3,2,2,2,1,1,,,,16
,,,,,1205,8,11,9,6,2,5,1,,,,,42
,,,SCI135,Methods in Scientific Inquiry,1206,5,8,2,1,1,1,,,,,,18
,,,,,1207,9,5,3,2,3,,,,,,,22
,,,,,1208,9,5,2,2,,,,,,,,18
,,,,,1209,5,5,2,2,2,1,,,,,,17
,,,,,1210,12,10,8,1,2,2,,2,,,,37
,,,SCI202,Advanced Chemistry--Chemical Reactions,1211,5,6,5,1,2,4,1,1,,,,25
,,,,,1212,8,15,11,6,2,5,3,2,,,1,53
,,,SCI222,Organic Chemistry II,1213,7,13,8,4,4,1,,,,,,37
,,,,,1214,3,3,9,5,3,5,1,,,,,29
,,,SCI235,Biochemistry,1215,9,11,8,2,2,2,1,4,,,,39
,,,SCI245,Environmental Chemistry,1216,11,11,8,,5,1,2,,,,,38
,,,SCI402,Physics: Sound and Light,1217,4,3,10,3,9,2,,3,,,2,36
